District,Year,Mean_Scale_Score_e,Mean_Scale_Score_m,Total Enrollment,% Asian,% Black,% Hispanic,% Multi-Racial,% Native American,%_White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,ENI,p_tested_e,p_tested_m,% POC
1,2018,605.5158691,600.4207153,11632,0.2163858264684677,0.15474553406238556,0.42013412714004517,0.026306740939617157,0.006103851366788149,0.1738308072090149,0.002493122359737754,0.21733149886131287,0.08734525740146637,0.6604195237159729,0.6701629757881165,0.359611416781293,0.3682083906464924,0.8261691927909851
1,2019,605.1784058,604.1079102,11376,0.21475034952163696,0.15453585982322693,0.412710964679718,0.029623769223690033,0.005274261813610792,0.17976441979408264,0.0033403655979782343,0.22828762233257294,0.08491560816764832,0.6429324746131897,0.6612324118614197,0.3606715893108298,0.34221167369901545,0.8202355802059174
1,2022,605.0883179,601.2261353,10327,0.20431877672672272,0.1520286649465561,0.4153190553188324,0.040379587560892105,0.005132177844643593,0.18001355230808258,0.002808172721415758,0.22804298996925354,0.07882250100374222,0.6258351802825928,0.6532162427902222,0.3179045221264646,0.2894354604434976,0.8199864476919174
2,2018,613.8356934,613.2853394,63497,0.22383734583854675,0.14789675176143646,0.3247869908809662,0.02987542748451233,0.005291588604450226,0.2576499581336975,0.010661921463906765,0.17137818038463593,0.08491739630699158,0.5507504343986511,0.543491005897522,0.24207442871316756,0.2322314440052286,0.7423500418663025
2,2019,613.3514404,613.7041016,62973,0.2219681441783905,0.14077462255954742,0.3232337534427643,0.033776380121707916,0.005605577025562525,0.26454195380210876,0.010099566541612148,0.17594842612743378,0.08017721772193909,0.5318628549575806,0.5293187499046326,0.2423895955409461,0.2288282279707176,0.7354580461978912
2,2022,613.6450195,609.8695068,57900,0.22079446911811829,0.1383419632911682,0.33143350481987,0.03815198689699173,0.006390328053385019,0.2529706358909607,0.011917098425328732,0.17899827659130096,0.08231433480978012,0.5244213938713074,0.5301958322525024,0.21880829015544043,0.19466321243523316,0.7470293641090393
3,2018,609.7580566,605.9547119,22667,0.08271937072277069,0.21498213708400726,0.32346582412719727,0.03758768364787102,0.005249922629445791,0.324215829372406,0.0117792384698987,0.17761503159999847,0.05029337853193283,0.4982132613658905,0.5014634132385254,0.34499492654519787,0.3186570785723739,0.675784170627594
3,2019,609.1110229,607.4063721,22577,0.08575098216533661,0.20870797336101532,0.31766843795776367,0.04012933373451233,0.005226558074355125,0.32953891158103943,0.012977809645235538,0.18359392881393433,0.04739336669445038,0.48943614959716797,0.4889771342277527,0.34787615715108294,0.3124861584798689,0.6704610884189606
3,2022,609.4199829,603.8922729,19766,0.0984518900513649,0.19290700554847717,0.32439541816711426,0.04315491393208504,0.005261560436338186,0.3121016025543213,0.02372761256992817,0.18946675956249237,0.041940707713365555,0.48209047317504883,0.4917926788330078,0.31969037741576445,0.27425882829100473,0.6878983974456787
4,2018,598.3682251,595.0222168,13230,0.08148147910833359,0.24157218635082245,0.603552520275116,0.011262282729148865,0.01050642505288124,0.046485260128974915,0.005139833781868219,0.24164776504039764,0.1041572168469429,0.8311413526535034,0.8323310613632202,0.4068783068783069,0.38412698412698415,0.9535147398710251
